id,fund,name,slug,fund_url,sectors,website,description,stage,stage_year,founded_year,invested_year,logo_url,source_modified,ticker_symbol,acquirer,founders
63,reach-capital,PeerTeach,peerteach,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.peerteach.org/,Supercharging math classes with data-driven peer tutoring,,,2021,,https://www.reachcapital.com/wp-content/uploads/2022/06/peerteach-e1762818698873.png,,,,Soren Rosier;Kreg Moccia
64,reach-capital,Pensieve,pensieve,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.pensieve.co/schools,AI Grader & Tutor for higher ed: automate grading and give personalized learning experience to students,,,2024,,https://www.reachcapital.com/wp-content/uploads/2022/06/pensieve.svg,,,,Jack Liu;Minjune Kim;Yoonseok Yang
65,reach-capital,PeopleGrove,peoplegrove,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.peoplegrove.com/,Mentoring and advising platform that enables personalized support for college students.,Exit,,2015,,https://www.reachcapital.com/wp-content/uploads/2022/06/PeopleGrove-e1762818763795.png,,,,Adam Saven;Reilly Davis
66,reach-capital,Polygence,polygence,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.polygence.org/,Mentorship program connecting curious students to leading academics around hands-on research projects.,,,2019,,https://www.reachcapital.com/wp-content/uploads/2022/06/polygence-2.png,,,,Jin Yun Chow;Janos Perczel
67,reach-capital,Preply,preply,https://www.reachcapital.com/companies/?sector=learning,Learning,https://preply.com/,Language learning marketplace featuring the best online tutors.,,,2012,,https://www.reachcapital.com/wp-content/uploads/2023/07/preply.svg,,,,Kirill Bigai;Dmytro Voloshyn
68,reach-capital,Realworld,realworld,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.realworld.co/,The one-stop-shop to navigate adulthood and big life moments.,,,2018,,https://www.reachcapital.com/wp-content/uploads/2022/06/realworld-2.png,,,,Genevieve Bellaire
69,reach-capital,Rhithm,rhithm,https://www.reachcapital.com/companies/?sector=learning,Learning,https://rhithm.app/,Social-emotional learning and school-based mental health solution.,Exit,,2019,,https://www.reachcapital.com/wp-content/uploads/2022/06/Rhithm.svg,,,,Jake Gannon;Josh Knutson
70,reach-capital,Riipen,riipen,https://www.reachcapital.com/companies/?sector=learning,Learning,https://riipen.com/,"Connecting students with companies to work on real projects, for course credit.",,,2014,,https://www.reachcapital.com/wp-content/uploads/2022/06/Riipen.svg,,,,Dave Savory;Dana Stephenson
71,reach-capital,SchoolMint,schoolmint,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.schoolmint.com/,Student enrollment solution that enables school choice for families.,Exit,,2013,,https://www.reachcapital.com/wp-content/uploads/2022/06/schoolmint.svg,,,,Jinal Jhaveri;Forum Desai
72,reach-capital,Schoolzilla,schoolzilla,https://www.reachcapital.com/companies/?sector=learning,Learning,https://schoolzilla.com/,Real-time data dashboards to power great schools.,Exit,,2013,,https://www.reachcapital.com/wp-content/uploads/2022/06/Schoolzilla.svg,,,,Lynzi Ziegenhagen;Heidi Williamson
73,reach-capital,Scout,scout,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.scoutftw.com/,"Making learning business and finance entertaining, engaging, and accessible.",,,,,https://www.reachcapital.com/wp-content/uploads/2022/06/scout-padding.svg,,,,Cindy Zeng;Michael Haddix
74,reach-capital,Scout Edu,scout-edu,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.scoutforschools.com/,The AI-native student information system for K-12 schools.,,,2024,,https://www.reachcapital.com/wp-content/uploads/2025/05/scout-edu.svg,,,,Max Bertfield;Noah Fichter
75,reach-capital,Seesaw,seesaw,https://www.reachcapital.com/companies/?sector=learning,Learning,https://web.seesaw.me/,"Helping teachers, students, families, and school leaders work together to elevate learning",,,2013,,https://www.reachcapital.com/wp-content/uploads/2022/06/seesaw.svg,,,,Carl Sjogreen;Adrian Graham
76,reach-capital,SmartPass,smartpass,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.smartpass.app/,"A digital hall pass that increases time in class, curbs vandalism, and makes school safer",Exit,,2019,,https://www.reachcapital.com/wp-content/uploads/2023/06/Smartpass.svg,,,,Will Gulian;Peter Luba;Dhruv Sringari
77,reach-capital,Snorkl,snorkl,https://www.reachcapital.com/companies/?sector=learning,Learning,https://snorkl.app/,"AI-powered feedback that understands student work in any format — voice, video, or drawing.",,,2025,,https://www.reachcapital.com/wp-content/uploads/2025/12/logo-wide-1200x630-1.svg,,,,Jeff Plourd;Jon Laven
78,reach-capital,Songscription,songscription,https://www.reachcapital.com/companies/?sector=learning,Learning,https://songscription.ai/,Empowering musicians worldwide to play and share the songs they love,,,2024,,https://www.reachcapital.com/wp-content/uploads/2022/06/Songscription.png,,,,Andrew Carlins;Alexander Alvarado-Barahona;Katie Baker
79,reach-capital,Springboard,springboard,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.springboard.com,Workforce training for in-demand digital skills.,,,2013,,https://www.reachcapital.com/wp-content/uploads/2022/06/Springboard-1.png,,,,Parul Gupta;Gautam Tambay
80,reach-capital,Sprout Labs,sprout-labs,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.sproutlabs.com/,"Predicting reading difficulties for students and empowering teachers, parents and clinicians with customized action plans and resources.",,,2020,,https://www.reachcapital.com/wp-content/uploads/2022/06/Sprout-Labs-1.png,,,,Carla Small
81,reach-capital,Stellic,stellic,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.stellic.com/,Powering the path to graduation,,,2016,,https://www.reachcapital.com/wp-content/uploads/2022/06/Stellic.svg,,,,Sabih Bin Wasi;Rukhsar Neyaz
82,reach-capital,Straia,straia,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.straia.io/,AI-powered business intelligence for higher education.,,,2024,,https://www.reachcapital.com/wp-content/uploads/2025/12/straia.svg,,,,Ryan Lau;Alan Chan
83,reach-capital,SuperHi,superhi,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.superhi.com/,"The education protocol of the internet, allowing people to learn and get paid for sharing high-quality, accessible skills content.",,,2016,,https://www.reachcapital.com/wp-content/uploads/2022/06/superhi-1.svg,,,,Rik Lomas
84,reach-capital,Suraasa,suraasa,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.suraasa.com/,Helping global teachers achieve greater professional and financial growth in their careers.,,,2017,,https://www.reachcapital.com/wp-content/uploads/2022/06/suraasa.svg,,,,Rishabh Khanna;Ankit Khanna
85,reach-capital,TeachFX,teachfx,https://www.reachcapital.com/companies/?sector=learning,Learning,https://teachfx.com/,Analyzing classroom dialogue to empower teachers with feedback on student engagement,,,2017,,https://www.reachcapital.com/wp-content/uploads/2022/06/TeachFX-e1762820441455.png,,,,Jamie Poskin;Berk Coker
86,reach-capital,TeachShare,teachshare,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.teachshare.com/,"The one-stop shop for adaptive education — create, differentiate, gamify, share, auto-grade, sell — all on one platform",,,2024,,https://www.reachcapital.com/wp-content/uploads/2024/11/TeachShare.svg,,,,Adam Goldstein;Aryan Bhadouria
87,reach-capital,Teachy,teachy,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.teachy.com.br/,AI-powered workspace for teachers,,,2022,,https://www.reachcapital.com/wp-content/uploads/2022/06/Teachy.png,,,,Pedro Siciliano;Fábio Baldissera
88,reach-capital,The Disagreement,the-disagreement,https://www.reachcapital.com/companies/?sector=learning,Learning,,A media and learning company that models and celebrates healthy disagreement in all walks of life,,,2023,,https://www.reachcapital.com/wp-content/uploads/2022/06/The-Disagreement.png,,,,Alex Grodd;Catherine Cushenberry
89,reach-capital,The Podcast App,the-podcast-app,https://www.reachcapital.com/companies/?sector=learning,Learning,https://podcast.app/,"Powerful, intuitive search platform for the world of podcasting",,,2017,,https://www.reachcapital.com/wp-content/uploads/2022/06/thepodcastapp.svg,,,,Martín Siniawski;Juan Catalano
90,reach-capital,Thinkverse,thinkverse,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.thinkverse.co/,An AI math tutor for every K-12 student,,,2023,,https://www.reachcapital.com/wp-content/uploads/2022/06/Thinkverse-e1762820749563.png,,,,Vincent Zhang;Qiyi Shan
91,reach-capital,Twenty,twenty,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.twenty.team/,Real-world career & life advice to help people crush their twenties,,,2022,,https://www.reachcapital.com/wp-content/uploads/2022/06/twenty.png,,,,Katie Kirsch
92,reach-capital,Tynker,tynker,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.tynker.com/,Self-paced coding courses for kids,Exit,,2012,,https://www.reachcapital.com/wp-content/uploads/2022/06/Tynker.png,,,,Srinivas Mandyam;Krishna Vedati;Kelvin Chong
93,reach-capital,Wayfinder,wayfinder,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.projectwayfinder.com/,Culturally responsive social-emotional learning and mental health curriculum designed to help students find meaning in today’s world.,,,2017,,https://www.reachcapital.com/wp-content/uploads/2022/06/Wayfinder.svg,,,,Patrick Cook-Deegan;Nathaniel Manning
94,reach-capital,WriteLab,writelab,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.writelab.com,"Immediate, automated writing feedback powered by artificial intelligence.",Exit,,2013,,https://www.reachcapital.com/wp-content/uploads/2022/06/WriteLab-1-e1762820840648.png,,,,Matthew Ramirez;Donald Mcquade;Frank Yeary
95,reach-capital,YourEDU,youredu,https://www.reachcapital.com/companies/?sector=learning,Learning,,All-in-One Homeschool Management Platform,,,2024,,https://www.reachcapital.com/wp-content/uploads/2022/06/YourEDU-e1762820874297.png,,,,Henry Hill-Gorman;Colin Grant
